,Representative Name,Last Name,State,Committee,Role
1329,Lewis,John,Georgia,Joint Committee on the Taxation,
1330,Lieu,Ted,California,Foreign Affairs,
1331,Lieu,Ted,California,Judiciary,
1332,Lipinski,,,"Science, Space, and Technology",
1333,Lipinski,,,Transportation and Infrastructure,
1334,LoBiondo,,,Armed Services,vice chair
1335,LoBiondo,,,Transportation and Infrastructure,
1336,LoBiondo,,,Permanent Select Committee onIntelligence,
1337,Loebsack,,,Energy and Commerce,
1338,Lofgren,,,House Administration,
1339,Lofgren,,,Judiciary,
1340,Lofgren,,,"Science, Space, and Technology",
1341,Lofgren,,,Joint Committee on the Library,
1342,Long,,,Energy and Commerce,
1343,Loudermilk,,,Financial Services,vice chair
1344,Loudermilk,,,House Administration,
1345,Loudermilk,,,"Science, Space, and Technology",
1346,Loudermilk,,,Joint Committee on the Library,
1347,Love,,,Financial Services,vice chair
1348,Lowenthal,,,Natural Resources,
1349,Lowenthal,,,Transportation and Infrastructure,
1350,Lowey,,,Appropriations,
1351,Lucas,,,Agriculture,
1352,Lucas,,,Financial Services,vice chair
1353,Lucas,,,"Science, Space, and Technology",
1354,Luetkemeyer,,,Small Business,vice chair
1355,Luetkemeyer,,,Financial Services,vice chair
1356,Lujan,Ben Ray,New Mexico,Energy and Commerce,
1357,Lujan Grisham,Michelle,New Mexico,Agriculture,
1358,Lujan Grisham,Michelle,New Mexico,Budget,
1359,Lynch,,,Financial Services,vice chair
1360,Lynch,,,Oversight and Government Reform,
1361,MacArthur,,,Financial Services,vice chair
1362,Maloney,Carolyn B,New York,Financial Services,vice chair
1363,Maloney,Carolyn B,New York,Oversight and Government Reform,
1364,Maloney,Carolyn B,New York,Joint Economic Committee,
1365,Maloney,Sean Patrick,New York,Agriculture,
1366,Maloney,Sean Patrick,New York,Transportation and Infrastructure,
1367,Marchant,,,Ethics,
1368,Marchant,,,Ways and Means,
1369,Marino,,,Foreign Affairs,
1370,Marino,,,Judiciary,
1371,Marshall,,,Agriculture,
1372,Marshall,,,"Science, Space, and Technology",
1373,Marshall,,,Small Business,
1374,Massie,,,Oversight and Government Reform,
1375,Massie,,,"Science, Space, and Technology",
1376,Massie,,,Transportation and Infrastructure,
1377,Mast,,,Foreign Affairs,
1378,Mast,,,Transportation and Infrastructure,
1379,Mast,,,Veterans' Affairs,
1380,Matsui,,,Energy and Commerce,
1381,McCarthy,,,Majority Leader,
1382,McCaul,,,Homeland Security,chair
1383,McCaul,,,Foreign Affairs,
1384,McClintock,,,Budget,
1385,McClintock,,,Natural Resources,
1386,McCollum,,,Appropriations,
1387,McEachin,,,Armed Services,vice chair
1388,McEachin,,,Natural Resources,
1389,McGovern,,,Agriculture,
1390,McGovern,,,Rules,
1391,McHenry,,,Financial Services,vice chair
1392,McKinley,,,Energy and Commerce,
1393,McMorris Rodgers,,,Energy and Commerce,
1394,McNerney,,,Energy and Commerce,
1395,McNerney,,,"Science, Space, and Technology",
1396,McSally,,,Armed Services,vice chair
1397,McSally,,,Homeland Security,
1398,Meadows,,,Foreign Affairs,
1399,Meadows,,,Oversight and Government Reform,
1400,Meadows,,,Transportation and Infrastructure,
1401,Meeks,,,Financial Services,vice chair
1402,Meeks,,,Foreign Affairs,
1403,Meng,,,Appropriations,
1404,Messer,,,Education and the Workforce,
1405,Messer,,,Financial Services,vice chair
1406,Mitchell,,,Armed Services,vice chair
1407,Mitchell,,,Oversight and Government Reform,
1408,Mitchell,,,Transportation and Infrastructure,
1409,Moolenaar,,,Appropriations,
1410,Mooney,Alexander X,West Virginia,Financial Services,vice chair
1411,Moore,,,Financial Services,vice chair
1412,Moulton,,,Armed Services,vice chair
1413,Moulton,,,Budget,
1414,Mullin,,,Energy and Commerce,
1415,Murphy,,,Armed Services,vice chair
1416,Murphy,,,Small Business,
1417,Nadler,,,Judiciary,
1418,Napolitano,,,Natural Resources,
1419,Napolitano,,,Transportation and Infrastructure,
1420,Neal,,,Ways and Means,
1421,Neal,,,Joint Committee on Taxation,
1422,Newhouse,,,Appropriations,
1423,Newhouse,,,Rules,
1424,Noem,,,Ways and Means,
1425,Nolan,,,Agriculture,
1426,Nolan,,,Transportation and Infrastructure,
1427,Norcross,,,Armed Services,vice chair
1428,Norcross,,,Education and the Workforce,
1429,Norman,,,"Science, Space, and Technology",
1430,Norman,,,Small Business,
1431,Norton,,,Oversight and Government Reform,
1432,Norton,,,Transportation and Infrastructure,
1433,Nunes,,,Permanent Select Committee onIntelligence,chair
1434,Nunes,,,Ways and Means,
1435,Nunes,,,Joint Committee on Taxation,
1436,O'Halleran,,,Agriculture,
1437,O'Halleran,,,Armed Services,vice chair
1438,Olson,,,Energy and Commerce,
1439,O'Rourke,,,Armed Services,vice chair
1440,O'Rourke,,,Veterans' Affairs,
1441,Palazzo,,,Appropriations,
1442,Pallone,,,Energy and Commerce,
1443,Palmer,,,Budget,
1444,Palmer,,,Oversight and Government Reform,
1445,Palmer,,,"Science, Space, and Technology",
1446,Panetta,,,Agriculture,
1447,Panetta,,,Armed Services,vice chair
1448,Pascrell,,,Ways and Means,
1449,Paulsen,,,Joint Economic Committee,chair
1450,Paulsen,,,Ways and Means,
1451,Payne,,,Homeland Security,
1452,Payne,,,Transportation and Infrastructure,
1453,Pearce,,,Financial Services,vice chair
1454,Pearce,,,Natural Resources,
1455,Pelosi,,,Democratic Leader,
1456,Perlmutter,,,Financial Services,vice chair
1457,Perlmutter,,,"Science, Space, and Technology",
1458,Perry,,,Foreign Affairs,
1459,Perry,,,Homeland Security,
1460,Perry,,,Transportation and Infrastructure,
1461,Peters,,,Energy and Commerce,
1462,Peters,,,Veterans' Affairs,
1463,Peterson,,,Agriculture,
1464,Pingree,,,Appropriations,
1465,Pittenger,,,Financial Services,vice chair
1466,Plaskett,,,Agriculture,
1467,Plaskett,,,Oversight and Government Reform,
1468,Plaskett,,,Transportation and Infrastructure,
1469,Pocan,,,Appropriations,
1470,Poe,Ted,Texas,Foreign Affairs,
1471,Poe,Ted,Texas,Judiciary,
1472,Poliquin,,,Financial Services,vice chair
1473,Poliquin,,,Veterans' Affairs,
1474,Polis,,,Education and the Workforce,
1475,Polis,,,Ethics,
1476,Polis,,,Rules,
1477,Posey,,,Financial Services,vice chair
1478,Posey,,,"Science, Space, and Technology",
1479,Price,David E,North Carolina,Appropriations,
1480,Quigley,,,Appropriations,
1481,Quigley,,,Permanent Select Committee onIntelligence,
1482,Radewagen,,,Natural Resources,
1483,Radewagen,,,Small Business,
1484,Radewagen,,,Veterans' Affairs,
1485,Raskin,,,House Administration,
1486,Raskin,,,Judiciary,
1487,Raskin,,,Oversight and Government Reform,
1488,Raskin,,,Joint Committee on Printing,
1489,Ratcliffe,,,Ethics,
1490,Ratcliffe,,,Homeland Security,
1491,Ratcliffe,,,Judiciary,
1492,Reed,,,Ways and Means,
1493,Reichert,,,Ways and Means,
1494,Renacci,,,Budget,
1495,Renacci,,,Ways and Means,
1496,Rice,Kathleen M,New York,Homeland Security,
1497,Rice,Kathleen M,New York,Veterans' Affairs,
1498,Rice,Tom,South Carolina,Ways and Means,
1499,Richmond,,,Homeland Security,
1500,Richmond,,,Judiciary,
1501,Roby,,,Appropriations,
1502,Roby,,,Judiciary,
1503,Roe,David P,Tennessee,Veterans' Affairs,chair
1504,Roe,David P,Tennessee,Education and the Workforce,
1505,Rogers,Harold,Kentucky,Appropriations,
1506,Rogers,Mike,Alabama,Agriculture,
1507,Rogers,Mike,Alabama,Armed Services,vice chair
1508,Rogers,Mike,Alabama,Homeland Security,
1509,Rohrabacher,,,Foreign Affairs,
1510,Rohrabacher,,,"Science, Space, and Technology",
1511,Rokita,,,Budget,vice chair
1512,Rokita,,,Education and the Workforce,
1513,Rokita,,,Transportation and Infrastructure,
1514,Rooney,Francis,Florida,Education and the Workforce,
1515,Rooney,Francis,Florida,Foreign Affairs,
1516,Rooney,Francis,Florida,Joint Economic Committee,
1517,Rooney,Thomas J,Florida,Appropriations,
1518,Rooney,Thomas J,Florida,Permanent Select Committee onIntelligence,
1519,Rosen,,,Armed Services,vice chair
1520,Rosen,,,"Science, Space, and Technology",
1521,Roskam,,,Ways and Means,
1522,Ros-Lehtinen,,,Foreign Affairs,
1523,Ros-Lehtinen,,,Permanent Select Committee onIntelligence,
1524,Ross,,,Financial Services,vice chair
1525,Ross,,,Oversight and Government Reform,
1526,Rothfus,,,Financial Services,vice chair
1527,Rothfus,,,Judiciary,
1528,Rouzer,,,Agriculture,
1529,Rouzer,,,Transportation and Infrastructure,
1530,Roybal-Allard,,,Appropriations,
1531,Royce,Edward R,California,Foreign Affairs,chair
1532,Royce,Edward R,California,Financial Services,vice chair
1533,Ruiz,,,Energy and Commerce,
1534,Ruppersberger,,,Appropriations,
1535,Rush,,,Energy and Commerce,
1536,Russell,,,Armed Services,vice chair
1537,Russell,,,Oversight and Government Reform,
1538,Rutherford,,,Appropriations,
1539,Rutherford,,,Judiciary,
1540,Ryan,Paul D,Wisconsin,The Speaker,
1541,Ryan,Tim,Ohio,Appropriations,
1542,Sablan,,,Education and the Workforce,
1543,Sablan,,,Natural Resources,
1544,Sanchez,,,Ways and Means,
1545,Sanford,,,Budget,
1546,Sanford,,,Oversight and Government Reform,
1547,Sanford,,,Transportation and Infrastructure,
1548,Sarbanes,,,Energy and Commerce,
1549,Sarbanes,,,Oversight and Government Reform,
1550,Scalise,,,Majority Whip,
1551,Scalise,,,Energy and Commerce,
1552,Schakowsky,,,Budget,
1553,Schakowsky,,,Energy and Commerce,
1554,Schiff,,,Permanent Select Committee onIntelligence,
1555,Schneider,,,Foreign Affairs,
1556,Schneider,,,Judiciary,
1557,Schneider,,,Small Business,
1558,Schrader,,,Energy and Commerce,
1559,Schweikert,,,Ways and Means,
1560,Schweikert,,,Joint Economic Committee,
1561,Scott,Austin,Georgia,Agriculture,
1562,Scott,Austin,Georgia,Armed Services,vice chair
1563,Scott,David,Georgia,Agriculture,
1564,Scott,David,Georgia,Financial Services,vice chair
1565,Scott,Robert C,Virginia,Education and the Workforce,
1566,Sensenbrenner,,,Foreign Affairs,
1567,Sensenbrenner,,,Judiciary,
1568,Serrano,,,Appropriations,
1569,Sessions,,,Rules,chair
1570,Sewell,Terri A,Alabama,Ways and Means,
1571,Sewell,Terri A,Alabama,Permanent Select Committee onIntelligence,
1572,Shea-Porter,,,Armed Services,vice chair
1573,Shea-Porter,,,Education and the Workforce,
1574,Sherman,,,Financial Services,vice chair
1575,Sherman,,,Foreign Affairs,
1576,Shimkus,,,Energy and Commerce,
1577,Shuster,,,"Transportation and Infrastructure,chair",chair
1578,Shuster,,,Armed Services,vice chair
1579,Simpson,,,Appropriations,
1580,Sinema,,,Financial Services,vice chair
1581,Sires,,,Foreign Affairs,
1582,Sires,,,Transportation and Infrastructure,
1583,Smith,Adam,Washington,Armed Services,vice chair
1584,Smith,Adrian,Nebraska,House Administration,
1585,Smith,Adrian,Nebraska,Ways and Means,
1586,Smith,Christopher H,New Jersey,Foreign Affairs,
1587,Smith,Jason,Missouri,Budget,
1588,Smith,Jason,Missouri,Ways and Means,
1589,Smith,Lamar,Texas,"Science, Space, and Technology,chair",chair
1590,Smith,Lamar,Texas,Homeland Security,
1591,Smith,Lamar,Texas,Judiciary,
1592,Smucker,,,Budget,
1593,Smucker,,,Education and the Workforce,
1594,Smucker,,,Transportation and Infrastructure,
1595,Soto,,,Agriculture,
1596,Soto,,,Natural Resources,
1597,Speier,,,Armed Services,vice chair
1598,Speier,,,Permanent Select Committee onIntelligence,
1599,Stefanik,,,Armed Services,vice chair
1600,Stefanik,,,Education and the Workforce,
1601,Stefanik,,,Permanent Select Committee onIntelligence,
1602,Stewart,,,Appropriations,
1603,Stewart,,,Permanent Select Committee onIntelligence,
1604,Stivers,,,Financial Services,vice chair
1605,Suozzi,,,Armed Services,vice chair
1606,Suozzi,,,Foreign Affairs,
1607,Swalwell,Eric,California,Judiciary,
1608,Swalwell,Eric,California,Permanent Select Committee onIntelligence,
1609,Takano,,,Education and the Workforce,
1610,Takano,,,"Science, Space, and Technology",
1611,Takano,,,Veterans' Affairs,
1612,Taylor,,,Appropriations,
1613,Tenney,,,Financial Services,vice chair
1614,Thompson,Bennie G,Mississippi,Homeland Security,
1615,Thompson,Glenn,Pennsylvania,Agriculture,
1616,Thompson,Glenn,Pennsylvania,Education and the Workforce,
1617,Thompson,Glenn,Pennsylvania,Natural Resources,
1618,Thompson,Mike,California,Ways and Means,
1619,Thornberry,,,"Armed Services, chair",vice chair
1620,Tipton,,,Financial Services,vice chair
1621,Tipton,,,Natural Resources,
1622,Titus,,,Foreign Affairs,
1623,Titus,,,Transportation and Infrastructure,
1624,Tonko,,,Energy and Commerce,
1625,Tonko,,,"Science, Space, and Technology",
1626,Torres,,,Foreign Affairs,
1627,Torres,,,Rules,
1628,Trott,,,Financial Services,vice chair
1629,Tsongas,,,Armed Services,vice chair
1630,Tsongas,,,Natural Resources,
1631,Turner,,,Armed Services,vice chair
1632,Turner,,,Permanent Select Committee onIntelligence,
1633,Upton,,,Energy and Commerce,
1634,Valadao,,,Appropriations,
1635,Vargas,,,Financial Services,vice chair
1636,Veasey,,,Armed Services,vice chair
1637,Veasey,,,"Science, Space, and Technology",
1638,Vela,,,Agriculture,
1639,Vela,,,Homeland Security,
1640,Velazquez,,,Financial Services,vice chair
1641,Velazquez,,,Natural Resources,
1642,Velazquez,,,Small Business,
1643,Visclosky,,,Appropriations,
1644,Wagner,,,Financial Services,vice chair
1645,Wagner,,,Foreign Affairs,
1646,Walberg,,,Education and the Workforce,
1647,Walberg,,,Energy and Commerce,
1648,Walden,,,Energy and Commerce,chair
1649,Walker,,,House Administration,
1650,Walker,,,Oversight and Government Reform,
1651,Walker,,,Joint Committee on Printing,
1652,Walorski,,,Ways and Means,
1653,Walters,Mimi,California,Energy and Commerce,
1654,Walters,Mimi,California,Ethics,
1655,Walz,,,Agriculture,
1656,Walz,,,Veterans' Affairs,
1657,Wasserman Schultz,,,Appropriations,
1658,Wasserman Schultz,,,Budget,
1659,Waters,Maxine,California,Financial Services,vice chair
1660,Watson Coleman,,,Homeland Security,
1661,Watson Coleman,,,Oversight and Government Reform,
1662,Weber,Randy K Sr,Texas,"Science, Space, and Technology",
1663,Weber,Randy K Sr,Texas,Transportation and Infrastructure,
1664,Webster,Daniel,Florida,Natural Resources,
1665,Webster,Daniel,Florida,"Science, Space, and Technology",
1666,Webster,Daniel,Florida,Transportation and Infrastructure,
1667,Welch,,,Energy and Commerce,
1668,Welch,,,Oversight and Government Reform,
1669,Wenstrup,,,Ways and Means,
1670,Wenstrup,,,Permanent Select Committee onIntelligence,
1671,Westerman,,,Budget,
1672,Westerman,,,Natural Resources,
1673,Westerman,,,Transportation and Infrastructure,
1674,Williams,,,Financial Services,vice chair
1675,Wilson,Frederica S,Florida,Education and the Workforce,
1676,Wilson,Frederica S,Florida,Transportation and Infrastructure,
1677,Wilson,Joe,South Carolina,Armed Services,vice chair
1678,Wilson,Joe,South Carolina,Education and the Workforce,
1679,Wilson,Joe,South Carolina,Foreign Affairs,
1680,Wittman,,,Armed Services,vice chair
1681,Wittman,,,Natural Resources,
1682,Womack,,,Budget,chair
1683,Womack,,,Appropriations,
1684,Woodall,,,Budget,
1685,Woodall,,,Rules,
1686,Woodall,,,Transportation and Infrastructure,
1687,Yarmuth,,,Budget,
1688,Yoder,,,Appropriations,
1689,Yoder,,,Joint Committee on the Library,
1690,Yoho,,,Agriculture,
1691,Yoho,,,Foreign Affairs,
1692,Young,David,Iowa,Appropriations,
1693,Young,Don,Alaska,Natural Resources,
1694,Young,Don,Alaska,Transportation and Infrastructure,
1695,Zeldin,,,Financial Services,vice chair
1696,Zeldin,,,Foreign Affairs,
